llm_model,pc_id,prompt,diagnosis,rank,sctid,is_correct
OpenAI_gpt-4-1106-preview,3615,base_common,Acute bronchitis,1,10509002,False
OpenAI_gpt-4-1106-preview,3615,base_common,Pneumonia,2,233604007,False
OpenAI_gpt-4-1106-preview,3615,base_common,Asthma exacerbation,3,281239006,False
OpenAI_gpt-4-1106-preview,3615,base_common,Pulmonary embolism,4,59282003,False
OpenAI_gpt-4-1106-preview,3615,base_common,Costochondritis,5,64109004,False
OpenAI_gpt-4-1106-preview,3615,base_sct,Acute bronchitis (disorder),1,10509002,False
OpenAI_gpt-4-1106-preview,3615,base_sct,Pneumonia (disorder),2,233604007,False
OpenAI_gpt-4-1106-preview,3615,base_sct,Acute viral pharyngitis (disorder),3,195662009,False
OpenAI_gpt-4-1106-preview,3615,base_sct,Costochondritis (disorder),4,64109004,False
OpenAI_gpt-4-1106-preview,3615,base_sct,Pulmonary embolism (disorder),5,59282003,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_common,Acute bronchitis,1,10509002,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_common,Pneumonia,2,233604007,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_common,Asthma exacerbation,3,281239006,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_common,Pulmonary embolism,4,59282003,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_common,Costochondritis,5,64109004,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_sct,Acute bronchitis (disorder),1,10509002,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_sct,Pneumonia (disorder),2,233604007,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_sct,Acute viral pharyngitis (disorder),3,195662009,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_sct,Costochondritis (disorder),4,64109004,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_sct,Pulmonary embolism (disorder),5,59282003,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_common_selfconsistent,Acute bronchitis,1,10509002,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_common_selfconsistent,Pneumonia,2,233604007,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_common_selfconsistent,Asthma exacerbation,3,281239006,False
OpenAI_gpt-4-1106-preview,3615,base_personalization_common_selfconsistent,Pulmonary embolism,4,59282003,False
