id,solved_at,pc_id,solver_id,total_unique_dxs,diagnosis,solve_time,rank,sctid,is_correct
3253,2015-06-11 22:09:30.573000+00:00,3615,458,"{'Acute pericarditis', 'Unspecified asthma with (acute) exacerbation', 'Histoplasmosis', 'Pneumonia', 'Pulmonary embolism'}",Histoplasmosis,147.138656,1,12962009,True
3253,2015-06-11 22:09:30.573000+00:00,3615,458,"{'Acute pericarditis', 'Unspecified asthma with (acute) exacerbation', 'Histoplasmosis', 'Pneumonia', 'Pulmonary embolism'}",Pneumonia,147.138656,2,233604007,False
3253,2015-06-11 22:09:30.573000+00:00,3615,458,"{'Acute pericarditis', 'Unspecified asthma with (acute) exacerbation', 'Histoplasmosis', 'Pneumonia', 'Pulmonary embolism'}",Acute pericarditis,147.138656,3,15555002,False
3253,2015-06-11 22:09:30.573000+00:00,3615,458,"{'Acute pericarditis', 'Unspecified asthma with (acute) exacerbation', 'Histoplasmosis', 'Pneumonia', 'Pulmonary embolism'}",Unspecified asthma with (acute) exacerbation,147.138656,4,1751000119100,False
3253,2015-06-11 22:09:30.573000+00:00,3615,458,"{'Acute pericarditis', 'Unspecified asthma with (acute) exacerbation', 'Histoplasmosis', 'Pneumonia', 'Pulmonary embolism'}",Pulmonary embolism,147.138656,5,59282003,False
3260,2015-06-12 05:25:36.500000+00:00,3615,388,"{'Bronchitis', 'Heart failure', 'Myocarditis', 'Pneumonia', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Chronic obstructive pulmonary disease with acute exacerbation,171.202134,1,195951007,False
3260,2015-06-12 05:25:36.500000+00:00,3615,388,"{'Bronchitis', 'Heart failure', 'Myocarditis', 'Pneumonia', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Bronchitis,171.202134,2,32398004,False
3260,2015-06-12 05:25:36.500000+00:00,3615,388,"{'Bronchitis', 'Heart failure', 'Myocarditis', 'Pneumonia', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Pneumonia,171.202134,3,233604007,False
3260,2015-06-12 05:25:36.500000+00:00,3615,388,"{'Bronchitis', 'Heart failure', 'Myocarditis', 'Pneumonia', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Myocarditis,171.202134,4,50920009,False
3260,2015-06-12 05:25:36.500000+00:00,3615,388,"{'Bronchitis', 'Heart failure', 'Myocarditis', 'Pneumonia', 'Chronic obstructive pulmonary disease with acute exacerbation'}",Heart failure,171.202134,5,84114007,False
3494,2015-06-29 18:12:27.773000+00:00,3615,490,"{'Asbestos', 'Pneumonia', 'Pleural plaque with presence of asbestos', 'Interstitial pulmonary disease'}",Pneumonia,115.040894,1,233604007,False
3494,2015-06-29 18:12:27.773000+00:00,3615,490,"{'Asbestos', 'Pneumonia', 'Pleural plaque with presence of asbestos', 'Interstitial pulmonary disease'}",Asbestos,115.040894,2,16369005,False
3494,2015-06-29 18:12:27.773000+00:00,3615,490,"{'Asbestos', 'Pneumonia', 'Pleural plaque with presence of asbestos', 'Interstitial pulmonary disease'}",Pleural plaque with presence of asbestos,115.040894,3,233659006,False
3494,2015-06-29 18:12:27.773000+00:00,3615,490,"{'Asbestos', 'Pneumonia', 'Pleural plaque with presence of asbestos', 'Interstitial pulmonary disease'}",Interstitial pulmonary disease,115.040894,4,233703007,False
5433,2015-09-15 07:52:25.042000+00:00,3615,1064,"{'Chronic obstructive pulmonary disease', 'Pleural plaque with presence of asbestos'}",Chronic obstructive pulmonary disease,51.856899,1,13645005,False
